date,compound,unix
2021-06-22 00:00:00,8732.336800000001,1624309200000
2021-06-23 00:00:00,6656.4883,1624395600000
2021-06-24 00:00:00,0.0,1624482000000
2021-06-25 00:00:00,0.0,1624568400000
2021-06-26 00:00:00,0.0,1624654800000
2021-06-27 00:00:00,0.0,1624741200000
2021-06-28 00:00:00,0.0,1624827600000
2021-06-29 00:00:00,0.0,1624914000000
2021-06-30 00:00:00,0.0,1625000400000
2021-07-01 00:00:00,0.0,1625086800000
2021-07-02 00:00:00,4396.1985,1625173200000
2021-07-03 00:00:00,7971.2228,1625259600000
2021-07-04 00:00:00,7082.2519,1625346000000
2021-07-05 00:00:00,7765.2093,1625432400000
2021-07-06 00:00:00,0.0,1625518800000
2021-07-07 00:00:00,0.0,1625605200000
2021-07-08 00:00:00,0.0,1625691600000
2021-07-09 00:00:00,0.0,1625778000000
2021-07-10 00:00:00,0.0,1625864400000
2021-07-11 00:00:00,0.0,1625950800000
2021-07-12 00:00:00,0.0,1626037200000
2021-07-13 00:00:00,0.0,1626123600000
2021-07-14 00:00:00,0.0,1626210000000
2021-07-15 00:00:00,0.0,1626296400000
2021-07-16 00:00:00,161.8554,1626382800000
2021-07-17 00:00:00,4029.5528,1626469200000
2021-07-18 00:00:00,8772.5545,1626555600000
2021-07-19 00:00:00,8099.0556,1626642000000
2021-07-20 00:00:00,6481.6842,1626728400000
2021-07-21 00:00:00,9706.2781,1626814800000
2021-07-22 00:00:00,9287.0358,1626901200000
2021-07-23 00:00:00,12521.2821,1626987600000
2021-07-24 00:00:00,8929.5924,1627074000000
2021-07-25 00:00:00,2796.4079,1627160400000
2021-07-26 00:00:00,4293.6691,1627246800000
2021-07-27 00:00:00,3552.212,1627333200000
2021-07-28 00:00:00,3544.8208,1627419600000
2021-07-29 00:00:00,7233.4968,1627506000000
2021-07-30 00:00:00,9991.5483,1627592400000
2021-07-31 00:00:00,0.0,1627678800000
2021-08-01 00:00:00,0.0,1627765200000
2021-08-02 00:00:00,0.0,1627851600000
2021-08-03 00:00:00,0.0,1627938000000
2021-08-04 00:00:00,354.3197,1628024400000
2021-08-05 00:00:00,2712.4143,1628110800000
2021-08-06 00:00:00,4113.8022,1628197200000
2021-08-07 00:00:00,3003.4674,1628283600000
2021-08-08 00:00:00,9745.0174,1628370000000
2021-08-09 00:00:00,18937.2489,1628456400000
2021-08-10 00:00:00,0.0,1628542800000
2021-08-11 00:00:00,0.0,1628629200000
2021-08-12 00:00:00,0.0,1628715600000
2021-08-13 00:00:00,0.0,1628802000000
2021-08-14 00:00:00,4841.6138,1628888400000
2021-08-15 00:00:00,8961.4284,1628974800000
2021-08-16 00:00:00,9687.1027,1629061200000
2021-08-17 00:00:00,11255.4398,1629147600000
2021-08-18 00:00:00,12709.531,1629234000000
2021-08-19 00:00:00,9427.8156,1629320400000
2021-08-20 00:00:00,10948.3234,1629406800000
2021-08-21 00:00:00,3094.2021,1629493200000
2021-08-22 00:00:00,0.0,1629579600000
2021-08-23 00:00:00,2634.7434,1629666000000
2021-08-24 00:00:00,7986.7697,1629752400000
2021-08-25 00:00:00,18264.9089,1629838800000
2021-08-26 00:00:00,12545.1767,1629925200000
2021-08-27 00:00:00,0.0,1630011600000
2021-08-28 00:00:00,0.0,1630098000000
2021-08-29 00:00:00,0.0,1630184400000
2021-08-30 00:00:00,0.0,1630270800000
2021-08-31 00:00:00,0.0,1630357200000
