,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix
0,2020-11-27 00:00:00,17149.47,17457.62,16438.08,17139.52,85297.024787,1446670351.435088,1572299,42507.358433,720985570.3407377,1606428000000
1,2020-11-28 00:00:00,17139.53,17880.49,16865.56,17719.85,64910.69997,1128061605.1072252,1209385,31785.706898,552044705.3606101,1606514400000
2,2020-11-29 00:00:00,17719.84,18360.05,17517.0,18184.99,55329.016303,996743798.8649217,1141289,27883.985296,502287686.119384,1606600800000
3,2020-11-30 00:00:00,18185.0,19863.16,18184.99,19695.87,115463.466888,2205929119.5053363,1744149,61033.414903,1166943549.1842446,1606687200000
4,2020-12-01 00:00:00,19695.87,19888.0,18001.12,18764.96,127698.762652,2446070334.828799,2023802,63805.392898,1223282816.3192167,1606773600000
5,2020-12-02 00:00:00,18764.96,19342.0,18330.0,19204.09,75911.013478,1436895344.8259494,1566635,36421.690398,689901298.5700688,1606860000000
6,2020-12-03 00:00:00,19204.08,19598.0,18867.2,19421.9,66689.391279,1286548310.8267057,1242229,33868.341698,653783366.9045953,1606946400000
7,2020-12-04 00:00:00,19422.34,19527.0,18565.31,18650.52,71283.6682,1358079975.0254982,1286657,32363.453715,616745259.3145112,1607032800000
8,2020-12-05 00:00:00,18650.51,19177.0,18500.0,19147.66,42922.748573,813445434.1308142,932124,21360.260281,405002656.0699713,1607119200000
9,2020-12-06 00:00:00,19147.66,19420.0,18857.0,19359.4,37043.091861,709558933.5829058,820382,19009.407663,364303500.9570982,1607205600000
10,2020-12-07 00:00:00,19358.67,19420.91,18902.88,19166.9,41372.296293,793517668.683946,840954,18881.806014,362249650.0534163,1607292000000
11,2020-12-08 00:00:00,19166.9,19294.84,18200.0,18324.11,61626.947614,1160658077.404659,1143181,27811.37851,524064471.55038375,1607378400000
12,2020-12-09 00:00:00,18324.11,18639.57,17650.0,18541.28,79585.553801,1450130664.0645843,1302476,36809.009287,671042442.4745308,1607464800000
13,2020-12-10 00:00:00,18541.29,18557.32,17911.12,18254.63,52890.675094,966149529.0006071,891151,25604.608069,467840780.52674687,1607551200000
14,2020-12-11 00:00:00,18254.81,18292.73,17572.33,18036.53,72610.724259,1301081647.3079002,1117810,34194.988471,612882050.9167273,1607637600000
15,2020-12-12 00:00:00,18036.53,18948.66,18020.7,18808.69,49519.978432,915552835.9061834,891810,26056.332648,481756117.71600103,1607724000000
16,2020-12-13 00:00:00,18808.69,19411.0,18711.12,19174.99,56560.821744,1083520569.0948539,938022,29593.4651,566907850.6233119,1607810400000
17,2020-12-14 00:00:00,19174.99,19349.0,19000.0,19273.14,47257.201294,906101687.739595,842382,22657.463401,434506325.32761055,1607896800000
18,2020-12-15 00:00:00,19273.69,19570.0,19050.0,19426.43,61834.366011,1196361527.9258018,1046423,31194.160849,603826364.4139218,1607983200000
19,2020-12-16 00:00:00,19426.43,21560.0,19278.6,21335.52,114306.33557,2325135958.6418414,1659135,61245.262375,1245917122.172021,1608069600000
20,2020-12-17 00:00:00,21335.52,23800.0,21230.0,22797.16,184882.476748,4196645567.425877,2795084,92409.405079,2097021808.629566,1608156000000
21,2020-12-18 00:00:00,22797.15,23285.18,22350.0,23107.39,79646.134315,1820875361.2945976,1613775,38359.302158,877296889.5114686,1608242400000
22,2020-12-19 00:00:00,23107.39,24171.47,22750.0,23821.61,86045.064677,2018969878.8868675,1678611,42709.111498,1002105538.8592925,1608328800000
23,2020-12-20 00:00:00,23821.6,24295.0,23060.0,23455.52,76690.145685,1810862074.730308,1743225,37124.115358,877166936.6057343,1608415200000
24,2020-12-21 00:00:00,23455.54,24102.77,21815.0,22719.71,88030.297243,2035446293.928971,1593949,41983.046103,971417184.6896445,1608501600000
25,2020-12-22 00:00:00,22719.88,23837.1,22353.4,23810.79,87033.12616,2010758620.243527,1496277,42681.326708,986428672.7376071,1608588000000
26,2020-12-23 00:00:00,23810.79,24100.0,22600.0,23232.76,119047.259733,2797688007.0718794,2194611,56660.201961,1332358610.2684052,1608674400000
27,2020-12-24 00:00:00,23232.39,23794.43,22703.42,23729.2,69013.834252,1602394244.0767715,1421257,35789.111319,831484211.6986719,1608760800000
28,2020-12-25 00:00:00,23728.99,24789.86,23433.6,24712.47,79519.943569,1919766316.6677368,1504426,41219.088164,995215944.5725682,1608847200000
29,2020-12-26 00:00:00,24712.47,26867.03,24500.0,26493.39,97806.513386,2496533065.1755805,1735574,49839.034072,1272279529.8870606,1608933600000
30,2020-12-27 00:00:00,26493.4,28422.0,25700.0,26281.66,148455.586214,4028928683.882025,2438493,72649.340484,1972635486.1835065,1609020000000
31,2020-12-28 00:00:00,26281.54,27500.0,26101.0,27079.41,79721.742496,2151806808.5743527,1508204,37895.345621,1023061029.3655897,1609106400000
32,2020-12-29 00:00:00,27079.42,27410.0,25880.0,27385.0,69411.592606,1851617219.7682345,1605166,34276.922601,914954320.8347605,1609192800000
33,2020-12-30 00:00:00,27385.0,28996.0,27320.0,28875.54,95356.057826,2683953237.460271,1916095,48057.906366,1352877359.6514735,1609279200000
34,2020-12-31 00:00:00,28875.55,29300.0,27850.0,28923.63,75508.505152,2173600125.420074,1552793,36431.62208,1049389143.5562063,1609365600000
35,2021-01-01 00:00:00,28923.63,29600.0,28624.57,29331.69,54182.925011,1582526989.1618726,1314910,27455.801725,802247744.5451041,1609452000000
36,2021-01-02 00:00:00,29331.7,33300.0,28946.53,32178.33,129993.873362,4073842163.671541,2245922,67446.305246,2110334723.8871458,1609538400000
37,2021-01-03 00:00:00,32176.45,34778.11,31962.99,33000.05,120957.56675,4057598425.4920163,2369698,59750.332871,2004428433.9318461,1609624800000
38,2021-01-04 00:00:00,33000.05,33600.0,28130.0,31988.71,140899.88569,4429010349.695345,2642408,69088.46923,2173435409.016988,1609711200000
39,2021-01-05 00:00:00,31989.75,34360.0,29900.0,33949.53,116049.997038,3743617144.6469154,2526851,59691.754755,1927195093.6415496,1609797600000
40,2021-01-06 00:00:00,33949.53,36939.21,33288.0,36769.36,127139.20131,4431954248.519614,2591783,63052.914652,2199632470.221549,1609884000000
41,2021-01-07 00:00:00,36769.36,40365.0,36300.0,39432.28,132825.700437,5062569943.383371,2814686,65055.107136,2482583239.8564973,1609970400000
42,2021-01-08 00:00:00,39432.48,41950.0,36500.0,40582.81,139789.957499,5568443208.731365,2925632,67300.155216,2684975445.978905,1610056800000
